Temperature,Temperature_Inv,C_CO2,C_Sites,C_CO2_ADS,C_CO,C_O2,kf1,kb1,r_co2,F_CO20
300.0,0.0033333333333333335,0.20082373472762582,0.43605697559112266,0.06394302440887732,0.23523324086349687,0.11761662043174843,0.7165313105737893,0.513417119032592,-0.030209058660514165,0.5
306.1224489795918,0.003266666666666667,0.1996633049380382,0.43681260635660885,0.06318739364339114,0.23714930141857063,0.11857465070928531,0.721324144338942,0.5203085212063068,-0.031304000317877376,0.5
312.2448979591837,0.0032026143790849673,0.1985481050688628,0.43753492381865494,0.062465076181345,0.23898681874979222,0.11949340937489611,0.7259592190020825,0.5270167876541135,-0.02922539070620575,0.5
318.3673469387755,0.0031410256410256414,0.1974756632051333,0.4382259761590571,0.06177402384094293,0.24075031295392377,0.12037515647696188,0.7304441069730735,0.5335485934116908,-0.027957960427026342,0.5
324.48979591836735,0.003081761006289308,0.19644367421242262,0.43888765529642015,0.06111234470357984,0.24244398108399753,0.12122199054199877,0.7347859103540756,0.5399103340548677,-0.030694611580159015,0.5
330.61224489795916,0.0030246913580246914,0.1954499869701243,0.43952171069337065,0.06047828930662931,0.24407172372324643,0.12203586186162321,0.7389912962803088,0.5461081359780511,-0.03183264937545545,0.5
336.734693877551,0.00296969696969697,0.19449259262155333,0.44012976182451763,0.059870238175482406,0.24563716920296422,0.12281858460148211,0.7430665291883253,0.5521478667999843,-0.028372796893286027,0.5
342.85714285714283,0.002916666666666667,0.19356961376958906,0.44071330943972,0.05928669056028003,0.24714369567013084,0.12357184783506542,0.7470175003104326,0.5580351457700471,-0.032775579858078066,0.5
348.9795918367347,0.002865497076023392,0.1926792945478275,0.44127374574455824,0.05872625425544173,0.24859445119673074,0.12429722559836537,0.7508497546624366,0.5637753540766414,-0.0302806068727075,0.5
355.1020408163265,0.002816091954022989,0.19181999149970744,0.44181236360801657,0.058187636391983405,0.2499923721083091,0.12499618605415455,0.7545685157638773,0.5693736449821006,-0.03068854924828508,0.5
361.2244897959184,0.002768361581920904,0.19099016520135856,0.44233036489637034,0.05766963510362961,0.2513401996950118,0.1256700998475059,0.7581787083050244,0.5748349537270753,-0.03123046963148417,0.5
